                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.62263,                0.84425,                0.43387,                0.93598,                0.80634,                0.74924,                0.74531,                0.52457,                0.74113,                0.69403,                0.68221,                0.43542,                0.64133,                0.88775,                0.43215,                0.87422,              0.0085942,              0.0085942,              0.0085942
                     73,                0.62904,                0.85597,                0.44315,                0.93911,                0.85357,                0.76403,                0.77053,                0.54845,                 0.8193,                0.73179,                0.72947,                0.44565,                0.63938,                0.88681,                0.40638,                0.87121,              0.0085744,              0.0085744,              0.0085744
                     74,                0.62464,                0.84583,                0.43474,                0.93769,                0.84926,                0.73233,                0.75486,                0.54659,                0.80261,                0.70013,                0.71542,                0.44775,                0.65893,                0.93143,                0.41811,                0.89265,              0.0085546,              0.0085546,              0.0085546
                     75,                0.62211,                0.82976,                0.42779,                 0.9475,                0.81585,                0.72138,                0.74199,                 0.5326,                 0.7874,                0.67992,                0.69255,                0.43296,                0.65868,                0.91984,                0.45687,                0.88106,              0.0085348,              0.0085348,              0.0085348
                     76,                0.62374,                0.84796,                0.43655,                0.94168,                0.82107,                0.73049,                 0.7452,                0.52918,                0.77679,                0.70797,                0.71476,                0.43807,                0.63566,                0.88549,                0.43041,                0.87462,               0.008515,               0.008515,               0.008515
                     77,                0.61694,                0.83735,                0.43353,                0.93637,                0.81529,                0.72338,                 0.7297,                0.52723,                0.76866,                0.69109,                0.68871,                 0.4389,                0.63659,                0.89742,                0.46634,                0.86931,              0.0084952,              0.0084952,              0.0084952
                     78,                 0.6257,                0.85057,                0.43179,                0.93688,                0.81254,                 0.7487,                0.73822,                0.52762,                0.77451,                0.71511,                0.71178,                 0.4416,                0.65078,                0.91701,                 0.4319,                0.88395,              0.0084754,              0.0084754,              0.0084754
                     79,                0.61415,                  0.836,                0.42288,                0.93656,                0.78592,                0.76435,                0.74585,                0.52287,                0.74578,                0.73438,                0.70419,                0.43451,                0.65591,                0.89924,                0.45425,                0.88417,              0.0084556,              0.0084556,              0.0084556
                     80,                0.62364,                 0.8451,                 0.4326,                 0.9409,                  0.801,                0.75382,                0.73476,                 0.5269,                0.77067,                0.72809,                0.70538,                0.45283,                0.65242,                0.89508,                0.43926,                0.88669,              0.0084358,              0.0084358,              0.0084358
                     81,                0.62202,                0.84495,                0.43391,                0.93558,                0.79117,                 0.7398,                0.74256,                 0.5288,                0.72535,                0.70142,                0.69297,                0.43235,                 0.6348,                0.91686,                 0.4254,                0.87193,               0.008416,               0.008416,               0.008416
